Статус,Клієнт
valuated,"Client: Клієнт Клієнтович 1, client1@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 1, client1@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 1, client1@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 1, client1@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 1, client1@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 2, client2@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 2, client2@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 2, client2@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 3, client3@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 3, client3@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 4, client4@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 4, client4@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 4, client4@company1.com, company(2054200)(2054200)"
valuated,"Client: Клієнт Клієнтович 1, client1@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 1, client1@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 2, client2@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 2, client2@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 2, client2@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 2, client2@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 2, client2@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 3, client3@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 3, client3@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 3, client3@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 3, client3@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 4, client4@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 4, client4@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 4, client4@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 4, client4@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 4, client4@company2.com, company(8355660)(8355660)"
valuated,"Client: Клієнт Клієнтович 1, client1@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 1, client1@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 1, client1@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 2, client2@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 2, client2@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 2, client2@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 2, client2@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 3, client3@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 3, client3@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 3, client3@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 3, client3@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 3, client3@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 4, client4@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 4, client4@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 4, client4@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 4, client4@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 4, client4@company3.com, company(8985561)(8985561)"
valuated,"Client: Клієнт Клієнтович 1, client1@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 1, client1@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 1, client1@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 2, client2@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 2, client2@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 3, client3@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 3, client3@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 3, client3@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 3, client3@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 4, client4@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 4, client4@company4.com, company(8664658)(8664658)"
valuated,"Client: Клієнт Клієнтович 4, client4@company4.com, company(8664658)(8664658)"
